,Energy (eV),Co-s,Co-py,Co-pz,Co-px,Co-xy,Co-yz,Co-z2,Co-xz,Co-x2-y2,Li-s,Li-py,Li-pz,Li-px,Li-xy,Li-yz,Li-z2,Li-xz,Li-x2-y2,O1-s,O1-py,O1-pz,O1-px,O1-xy,O1-yz,O1-z2,O1-xz,O1-x2-y2,O2-s,O2-py,O2-pz,O2-px,O2-xy,O2-yz,O2-z2,O2-xz,O2-x2-y2
1359,-5.7403800709838695,1.238251,0.602278,0.545435,0.602278,1.499289,0.718492,1.221506,0.718492,1.499289,1.33162,0.684382,0.922221,0.684382,0.045487,0.03712,0.081622,0.03712,0.045487,0.233477,4.004307,4.946866,4.004307,0.002864,0.009004,0.012393,0.009004,0.002864,0.233476,4.004307,4.946866,4.004307,0.002864,0.009004,0.012393,0.009004,0.002864
1360,-5.735844838295236,1.247999,0.613126,0.551967,0.613126,1.534443,0.732449,1.254733,0.732449,1.534443,1.361171,0.693286,0.932271,0.693286,0.046699,0.037782,0.083723,0.037782,0.046699,0.238845,4.058494,5.060944,4.058494,0.002947,0.009204,0.01266,0.009204,0.002947,0.238845,4.058494,5.060945,4.058494,0.002947,0.009204,0.01266,0.009204,0.002947
1361,-5.731309605606603,1.259323,0.624055,0.55856,0.624055,1.571169,0.74628,1.290594,0.74628,1.571169,1.392238,0.702407,0.942642,0.702407,0.047928,0.038486,0.085907,0.038486,0.047928,0.244436,4.114126,5.180604,4.114126,0.003031,0.009413,0.01294,0.009413,0.003031,0.244436,4.114126,5.180604,4.114126,0.003031,0.009413,0.01294,0.009413,0.003031
1362,-5.726774372917969,1.272233,0.635052,0.565078,0.635052,1.609558,0.760228,1.329091,0.760228,1.609558,1.424863,0.711599,0.953369,0.711599,0.04918,0.039232,0.088175,0.039232,0.04918,0.250245,4.171187,5.305639,4.171187,0.003116,0.009632,0.013233,0.009632,0.003116,0.250245,4.171188,5.305639,4.171188,0.003116,0.009632,0.013233,0.009632,0.003116
1363,-5.722239140229336,1.286729,0.646117,0.571521,0.646117,1.649609,0.774294,1.370224,0.774294,1.649609,1.459046,0.72086,0.964453,0.72086,0.050453,0.040021,0.090529,0.040021,0.050453,0.256273,4.229678,5.436049,4.229678,0.003201,0.009863,0.013539,0.009863,0.003201,0.256273,4.229679,5.436049,4.229679,0.003201,0.009863,0.013539,0.009863,0.003201
1364,-5.717703907540702,1.302809,0.657251,0.57789,0.657251,1.691322,0.788477,1.413992,0.788477,1.691322,1.494786,0.730192,0.975892,0.730193,0.051749,0.040853,0.092968,0.040853,0.051749,0.26252,4.289599,5.571834,4.289599,0.003288,0.010104,0.013858,0.010104,0.003288,0.26252,4.289599,5.571834,4.289599,0.003288,0.010104,0.013858,0.010104,0.003288
1365,-5.713168674852069,1.320476,0.668454,0.584184,0.668454,1.734697,0.802778,1.460395,0.802778,1.734697,1.532084,0.739595,0.987688,0.739595,0.053067,0.041727,0.095492,0.041727,0.053067,0.268986,4.350949,5.712995,4.350949,0.003377,0.010356,0.01419,0.010356,0.003377,0.268985,4.350949,5.712995,4.350949,0.003377,0.010356,0.01419,0.010356,0.003377
1366,-5.7086334421634355,1.339725,0.67973,0.59041,0.67973,1.779735,0.817195,1.509435,0.817195,1.779735,1.57094,0.749076,0.999847,0.749076,0.054408,0.042644,0.098101,0.042644,0.054408,0.27567,4.413747,5.859552,4.413747,0.003466,0.010619,0.014535,0.010619,0.003466,0.275669,4.413748,5.859552,4.413748,0.003466,0.010619,0.014535,0.010619,0.003466
1367,-5.704098209474802,1.360391,0.691463,0.597058,0.691463,1.826519,0.831717,1.561154,0.831717,1.826519,1.611373,0.759233,1.012856,0.759233,0.055758,0.043602,0.100797,0.043602,0.055758,0.282579,4.479431,6.013093,4.479431,0.003556,0.010893,0.014895,0.010893,0.003556,0.282579,4.479431,6.013093,4.479431,0.003556,0.010893,0.014895,0.010893,0.003556
1368,-5.699562976786169,1.382051,0.704617,0.605365,0.704617,1.875255,0.846312,1.61566,0.846312,1.875255,1.65343,0.771571,1.027941,0.771572,0.057083,0.044599,0.103584,0.044599,0.057083,0.289732,4.551622,6.177622,4.551622,0.003648,0.011179,0.015272,0.011179,0.003648,0.289732,4.551622,6.177622,4.551622,0.003648,0.011179,0.015272,0.011179,0.003648
