E, eV	P1	P2	P3	E	P4
1.69662509902603	0.0324461300193456	0.131437346617001	0.00140198116498082	0.40004	2.49528825249123
1.79662509902603	0.0182311068394806	0.105295367862504	0.00315328217649111	0.50004	2.24852769796155
1.89662509902603	0.0124607171026847	0.0846496041726548	0.00622668294384374	0.60004	1.97266242363284
1.99662509902603	0.0117733144123074	0.0678915097588276	0.00955402860132543	0.70004	1.68602863567144
2.09663509902603	0.0137169878750215	0.0542098202872257	0.0125984652947332	0.80005	1.40349541496609
2.19663509902603	0.0167158920220813	0.0432550495681603	0.0151393093826299	0.90005	1.13611309219291
2.29663509902603	0.0198560021681582	0.0348731285793727	0.0171279386117893	1.00005	0.89163034330799
2.39663509902603	0.0226668256842858	0.0289004662153802	0.0186072549703523	1.10005	0.675233636101756
2.49663509902603	0.0249420529160092	0.025048740658916	0.0196664108824555	1.20005	0.49015740288021
2.59663509902603	0.0266730135882749	0.0228952057286381	0.0204079525636554	1.30005	0.337986541328062
2.69663509902603	0.0279473295620482	0.0219532915502421	0.0209203348447855	1.40005	0.21870398729406
2.79663509902603	0.028835435333259	0.0217680827423044	0.0212641785838856	1.50005	0.13061909706526
2.89663509902603	0.0293599716554924	0.0219858896729917	0.0214775723753052	1.60005	0.0703919508551822
2.99663509902603	0.0295461221545222	0.0223747509635809	0.0215946982908964	1.70005	0.0333133600130336
3.09663509902603	0.0295223171943928	0.0228031589241373	0.0216580397628183	1.80005	0.0138878404820261
3.19663509902603	0.0293898733814721	0.0232010275907493	0.0217131496337635	1.90005	0.00660286990889153
3.29663509902603	0.0291923871871426	0.0235265798955774	0.0217881409138472	2.00005	0.00665607903507651
3.39663509902603	0.0289474442576259	0.0237528794950864	0.0218777816532961	2.10005	0.0104108386804671
3.49663509902603	0.0286397260857602	0.0238703185215184	0.021948099058249	2.20005	0.0154854328610815
3.59663509902603	0.0283787906347666	0.0238910783786379	0.0219612138123474	2.30005	0.0205388778360501
3.69663509902603	0.0281726954394122	0.0238447547305201	0.0219050575514475	2.40005	0.0249261486879466
